observationId,metricId,valueDate,value,unit,sourceDefinitionId,releaseAvailableAt,revisionSequence,supersedesObservationId,rawArtifactId
obs-pbc-31bf008547953619953ba082e123ad5b57330bbdcf1dc20b700bac7bb4cbef89,MACRO_AFRE_STOCK_BALANCE,2019-05,211.81320000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-25f506e1a2ec37500fbc0cbcc1cb276edb735ac3c824a246aa25d43be3755a03,artifact-r2-c7777e312817d480c5bdbd7bcca364cab5d5a291ba7754f2c23fdb87a141f119
obs-pbc-77ecc2439308c2f239315e008dbcc1aacab232f6868b6143b54b698fa0391ea0,MACRO_AFRE_STOCK_BALANCE,2019-06,214.0335,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-6be4560bb3e01f52e1100942e4df4ce6d9403cbce3d05350f3356fd0059dd33f,artifact-r2-a8aceaa0b10bc0ed42bd315baada7109fd9708d5b998cec2bfafa0c1591662a2
obs-pbc-52bc8a5e6fef0b644413e8b80bd8867b820345b43bdefcd18585cc430aec468a,MACRO_AFRE_STOCK_BALANCE,2019-07,214.97490000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-9ff93ebc45ca1c4cb1f8a0fbb4274ae8a8b2163f9fb85f4f717861fbfe6a5f27,artifact-r2-d465083368e4ee25b49235e48984d01ee07bbfd95f2cb9ddfba06d300d73b6be
obs-pbc-4fbd20b4f5fe4fc65ab3f1c44ccd5165a7eecdfc241204c9400e267c6e80686d,MACRO_AFRE_STOCK_BALANCE,2019-08,216.9027,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-5cec5f5c7b24c011d16f970d0f66504b5e6a91ae45adb30498d436f2028a59bf,artifact-r2-2e7165954569025bff3bf8fa873c335f333beda1a1b2539d7768acceb18f418e
obs-pbc-50bfb530d6d94bdfe9d1a6adcfc6f67a04a54136259b50c90815b58a7a033685,MACRO_AFRE_STOCK_YOY,2017-01,13.2,%,pbc-afre-stock-yoy-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-fdc60001538508b5ecc84fe341d19e12efbaf1418190bbfb134ec6284362c30f,artifact-r2-5891fa8c3962a9b279a39b52b15333394c6a4948b4a347f934beba7685dae60d
obs-pbc-6ddafb88dbb34e53b504864df10387eb37f95930da12b3a2121392139e9fd0f2,MACRO_AFRE_STOCK_YOY,2017-01,14.8,%,pbc-afre-stock-yoy-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-50bfb530d6d94bdfe9d1a6adcfc6f67a04a54136259b50c90815b58a7a033685,artifact-r2-8ea1cee4cc4eb710ec4d4c1d42641971390e7de3231266b5b73825259230e2d5
obs-pbc-330d1c090f7c22cdb82d4707ea0038e2fefde039628d2dd35dba5fb93a675b99,MACRO_AFRE_STOCK_YOY,2017-01,14.9,%,pbc-afre-stock-yoy-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-6ddafb88dbb34e53b504864df10387eb37f95930da12b3a2121392139e9fd0f2,artifact-r2-8276b3e14aa1c318d758f9ba4444b0211f2c2c6919e0c11af2b7273e599cecee
obs-pbc-0930bec16ca1f86057bc2feb18bcde0258447950b04b6e92aa382752925c580c,MACRO_AFRE_STOCK_YOY,2017-03,12.9,%,pbc-afre-stock-yoy-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-c9d1d8b26773c2df2d3b8c47f4bb0cd3e16dab192025eb448faaa7432df9db19,artifact-r2-138dc42c9d63ab9756c8c407e2ab2da41efb49cd7e9158788e9891a99b4d903c
obs-pbc-65a784d84500c32b676893a011e24840b442db62090bce7da31134f031567dbd,MACRO_AFRE_STOCK_YOY,2017-03,14.4,%,pbc-afre-stock-yoy-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-0930bec16ca1f86057bc2feb18bcde0258447950b04b6e92aa382752925c580c,artifact-r2-67832b06ba1e6239658b27cfb3c3744a601b53dd16cd6c710d6ff91059cf333d
obs-pbc-fea5596fb2001875c6bc9283424c3eb213ead812acb011b1f6e36fb555b2be29,MACRO_AFRE_STOCK_YOY,2017-03,14.5,%,pbc-afre-stock-yoy-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-65a784d84500c32b676893a011e24840b442db62090bce7da31134f031567dbd,artifact-r2-57ce7c19b1a9b5c62e7f591c660d448bad5effb849ec11e89496079aa274fad7
obs-pbc-590ad3b3f0881c7120f3928bd75340e142c00b52610cebbbc938639332930beb,MACRO_AFRE_STOCK_YOY,2017-04,13.2,%,pbc-afre-stock-yoy-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-57b111ce315789b04ed4c1a3a2c6820b1408f39a3783926c093125cf911ef658,artifact-r2-64c925ddad2c6d1d041361b6d8a5f19ea324dbd67811fa9420cb98091a60a174
obs-pbc-2ef568fbeed7199cf479ca59f688b2b4db326cc9618ecaa9c7140a99f9c716b0,MACRO_AFRE_STOCK_YOY,2017-04,14.5,%,pbc-afre-stock-yoy-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-590ad3b3f0881c7120f3928bd75340e142c00b52610cebbbc938639332930beb,artifact-r2-8cb86484342e328e1d0b0773678e40611bd67870d8e1d92a7f1d07f6b65d5d7e
obs-pbc-6cb8f5074733ca2aeaf12c3428d08dd8efa9d072237709b53c95be0ea045567a,MACRO_AFRE_STOCK_YOY,2017-04,14.6,%,pbc-afre-stock-yoy-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-2ef568fbeed7199cf479ca59f688b2b4db326cc9618ecaa9c7140a99f9c716b0,artifact-r2-7617e699cad242ecab97b6c4ad3793a109ce35eefbd41ca913ec51e75522b6e9
obs-pbc-96f3b8912fbe2d6532b2f6f483a76340e0c71c69575e91934df9e6baff6ecca9,MACRO_AFRE_STOCK_YOY,2017-05,13.3,%,pbc-afre-stock-yoy-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-0320c08af975e2a220c317bdca1dc17ad3b75806ace4ea037355650adc552adc,artifact-r2-cd7c17378a02eb5314a3f77bc24b585350cbd90d2d86bb2f45b26aee2d532f74
obs-pbc-04501f532d91bc3f0adcad04417adb1495335949197c250f94598c61e9851a5d,MACRO_AFRE_STOCK_YOY,2017-05,14.6,%,pbc-afre-stock-yoy-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-96f3b8912fbe2d6532b2f6f483a76340e0c71c69575e91934df9e6baff6ecca9,artifact-r2-672733437072e184154857cc193ab81a5bbc710342aacf757d0d24ffa34f35a9
obs-pbc-2dd460e315e2d75ec49af45317e1a75a184fe3bf5b952a3103efc3622452fdd3,MACRO_AFRE_STOCK_YOY,2017-05,14.7,%,pbc-afre-stock-yoy-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-04501f532d91bc3f0adcad04417adb1495335949197c250f94598c61e9851a5d,artifact-r2-dba43caf2d777f45593de99eeae84bea9d53b5c7efa64e58e025e6257c3e00fb
obs-pbc-70afc9f432f640946cec792c9f370e7f27e352c87845c5833bc8e786efca97ac,MACRO_AFRE_STOCK_YOY,2017-06,13.2,%,pbc-afre-stock-yoy-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-85981eb5d0c11af8b1ec4809647e5c9c85063dbdfc2a21627a511ecd07a1c0cd,artifact-r2-29de04092dde8602fff216c90e32d4522da3fcded805c8233d6548c65fe8a1c6
obs-pbc-72639d6f7e82d56a876bf3ba180a0bdc7581932b9feeea2492fd96dd3fb2f04d,MACRO_AFRE_STOCK_YOY,2017-06,14.2,%,pbc-afre-stock-yoy-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-70afc9f432f640946cec792c9f370e7f27e352c87845c5833bc8e786efca97ac,artifact-r2-5b8539fa666a54d0da24dd65fcba31decd5fa002fa5e759630cf962548d3179d
obs-pbc-b4e47dca46cfa1d9a0d0f797563c3b7a208b9dffc2a9b2538503bfb91e583330,MACRO_AFRE_STOCK_YOY,2017-06,14.3,%,pbc-afre-stock-yoy-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-72639d6f7e82d56a876bf3ba180a0bdc7581932b9feeea2492fd96dd3fb2f04d,artifact-r2-261ff543fd5fadd955d6ed52f38d652a31d8d71fe2abda4f51b6b8e2a89c4a2e
obs-pbc-c6ca30cd99d1ad77dedec11e95dcab6d00417217085ce43c1f8cb90df3bcf25e,MACRO_AFRE_STOCK_YOY,2017-07,13.6,%,pbc-afre-stock-yoy-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-abac7d7cc3f9da92887a5a9fdfafa7d02215c9ebaf740af1f0eda594588f1884,artifact-r2-5679c9354d020cd6c34a29c416f8c08cd657f2b1514115389d7a93f57b27105a
